,title,rate,description
0,뷰티플 마인드,9.9,"세상 극과 극의 개성으로 뭉친 ‘뷰티플마인드’의 멤버들 알고 보니, 마음 속 고민의 불협화음까지 닮았다! 혼자만의 쉼표, 도돌이표를 벗어나 난생 처음으로 함께하는 기적의 하모니를 꿈꿔보는데…"
1,뷰티플 마인드(가치봄영화:시청각장애인용),9.9,"세상 극과 극의 개성으로 뭉친 ‘뷰티플마인드’의 멤버들 알고 보니, 마음 속 고민의 불협화음까지 닮았다! 혼자만의 쉼표, 도돌이표를 벗어나 난생 처음으로 함께하는 기적의 하모니를 꿈꿔보는데…"
2,극장판 은혼 완결편 해결사여 영원하라,9.9,"""어떤 힘""에 의해 자신이 없는 미래의 세계에 날아가버린 긴토키는 붕괴해버린 에도의 거리를 두 눈으로 보게 된다. 멸망한 지구에 남은 것은 가난한 사람들, 이것을 기회로 정부와 싸우려는 양이지사, 법의 허점을 이용하는 불량배들, 그리고 꽁지 빠지게 도망치는 것이 성미에 맞지 않는 완고한 사람들뿐. 그런 에도에서 헤매이던 긴토키는 두 명의 젊은이와 만난다. 허리에 동야호목검을 차고 불량배를 쫓아내는 안경청년. 그리고, 거대한 개를 끌고 다니는 긴토키의 옷을 따라한 듯한 차이나 복장의 미녀. 그리고 마침내 긴토키는 계속해서 변해버린 미래의 모습과, 충격적인 사실과 마주하게 되는데..."
3,몬스타엑스 : 더 드리밍,9.8,"강렬한 퍼포먼스와 파워풀하고 완성도 높은 무대로 전 세계의 수많은 팬들에게 아름다운 충격을 선사한 그룹 MONSTA X. 지난 6년 반 동안 묵묵히 걸어온 여정을 돌아보며 멤버들의 진솔한 속내가 담긴 개별 인터뷰부터 미국 진출 비하인드, 히트곡의 특별한 무대, 그리고 어디에도 공개된 적 없는 최신 앨범의 독점 무대까지 오직 몬베베만을 위해 한 편의 영화에 모두 담았다! 도전, 성장, 꿈, 그리고 더 뜨겁게 타오를 MONSTA X의 내일! <MONSTA X : THE DREAMING> COMING SOON!"
4,디지몬 어드벤처 2기: 우리들의 워 게임!,9.8,"디지털 월드의 모험으로부터 반 년 후. 인터넷 상에는 전 세계의 디지털 데이터를 먹고 성장하는 흉악한 디지몬 쿠라몬이 탄생한다. 쿠라몬은 디아블로몬으로 진화해 지구를 멸망시킬 수 있을 정도의 파급력을 지닌 핵미사일을 발사시키는데… 일촉즉발의 상황, 아이들과 디지몬들은 힘을 합쳐 세상을 구해내야만 한다!"
5,굿 맨,9.8,"오염된 연기에 가려져 햇빛이 들지 않는 공장도시. 공장장의 아내는 햇빛을 보지 못해 죽어간다. 연출의도. 꽃을 상징하는 아내와 우리들의 모습을 주인공에 이입하여 주인공이 아내를 살리고자 노력하는 모습 속에서, 파괴되어 가는 환경을 되살리고자 노력하는 우리들의 모습을 발견하고 싶었다."
6,아픈 만큼 사랑한다,9.8,"마땅한 의료 시설조차 없어 안타까운 죽음이 일상이 되어버린 필리핀 오지의 마을. 그들에게 먼저 손을 내밀며 다가간 한 명의 이방인 의사는 버스 한 대로 30여 년 동안 의료 봉사를 이어간다. 시한부 인생을 선고받은 순간에도 오로지 다른 사람의 아픔이 먼저였던 故 박누가 선교사, 그가 보여준 헌신과 봉사는 사랑 그 자체였다. 세상에 미처 전하지 못한 그의 사랑이 옵니다."
7,매미소리,9.7,"매미소리만 들으면 곡소리를 내는 딸, '수남' 곡소리 나는 초상집만 다니면 신명이 나는 아버지, '덕배' 최악의 죽음을 맞이하려는 딸과 최고의 죽음을 찾으려는 아버지 진도의 어느 뜨거운 여름날 20년 만에 마주친 부녀의 듣그러운 불협화음 한 판이 울려 퍼진다!"
8,비둘기는 날지 않는다,9.7,"하루하루 살아가기도 힘들게 변하는 세상, 한때 평화의 상징이라 불리며 하늘을 날던 비둘기는 급변하는 세상에 자신을 맞춰 살아간다. 어느새 자신이 비둘기란 사실도 잊고, 이젠 날아다니는 것보다 걷는 것이 편한 주인공 둘기. 그때, 닭으로서 살아가기 위해 통닭이 되는 것이 꿈이라는 암탉 꼬꼬를 만난다. The world changes making life harder each and every single day. Doves, which used to fly in the sky being called a symbol of peace, live their lives trying to adjust themselves to the rapidly changing world. Forgetting who he used to be, Doolgi, the main character, prefers walking to flying. He meets Kkokko, a hen who has a dream of becoming fried chicken to fulfill her life as a chicken."
9,극장판 천원돌파 그렌라간 : 나암편,9.7,"텟페린 공략전으로부터 7년 후. 인류는 우주에 로켓 간멘을 보낼 정도로 발달한다. 시몬은 지구의 총사령관이 되어 수도 카미나 시티를 세운다. 한편 보좌관 로시우는 로제놈의 마지막 예언을 신경 쓰고 지구의 총인구를 강압적으로 조사하며, 로제놈의 두뇌를 생체 컴퓨터로 부활시켜 정보를 캐낸다. 그러나 결국 지구의 인구는 100만에 도달하고 안티 스파이럴의 첨병 무간의 공세가 시작된다. 게다가 니아는 사실 안티 스파이럴의 메신저였고, 안티 스파이럴에게 세뇌되어서는 인류를 전멸시키겠다는 위협을 전한다. 그 방법은 바로 달을 지구에 충돌시키는 것. 인류가 너무 발전해서 공격을 받게 된 것이라고 알게 된 시민들은 자신들을 이끌고 나온 시몬을 비난했고, 로시우는 고뇌 끝에 시몬을 체포하여 사형 선고를 내리고 자신이 새로운 총사령관이 된다. 로시우는 각지의 인류를 지하에 숨기고, 카미나 시티의 시민들은 로제놈이 남긴 우주 비행선 아크 그렌을 사용하여 탈출시킬 계획을 세운다. 그러나 계산 끝에 지하에 남은 인간들은 생존이 불가능하다는 결론이 나오자, 로시우는 다시 고뇌하다가 이를 비밀에 부치고 아크 그렌만을 살리려고 한다. 이를 알게 된 또 다른 중책 키탄은 고민에 빠지다가, 무간의 공격이 시작되자 로시우를 떠나 간멘을 이끌고 대그렌단을 다시 결집시킨다. 시몬 역시 귀환한 요코의 도움으로 풀려나, 함께 갇혀 있던 과거의 적 비랄과 함께 대그렌단에 합류한다. 그동안 아크 그렌은 무간에게 격침당할 위기였으나, 시몬이 그들을 몰아내고 아크 그렌을 거대 간멘 아크 그렌라간으로 바꾸어낸다. 그리고 지구로 떨어지는 달 역시 로제놈의 함선 '카테도랄 테라'임을 알고는 본래의 모습으로 바꾸어 제어를 빼앗아 지구를 구해낸다. 그 과정에서 자신을 막아서는 니아를 설득해 세뇌를 풀고, 안티 스파이럴에게 소환되는 그녀를 구해내겠다고 맹세한다. 자신이 한 일이 헛된 것임을 깨달은 로시우는 자살하려고 하지만, 시몬이 급히 그를 찾아내 말리고는 로시우가 한 일을 인정해준다. 그리고 다시 대그렌단을 모은 시몬은 카테도랄 테라의 이름을 초은하 다이그렌으로 변경하고 그곳에 승선, 니아를 구하러 차원을 도약해 출발한다. 마지막 관문까지 통과한 대그렌단은 마침내 안티 스파이럴 본체의 앞에 도달, 니아를 구해내고 최종 형태 '천원돌파 그렌라간'으로 합체한다. 최후의 대결이 펼쳐지고 시몬은 마침내 안티 스파이럴을 쓰러뜨려 인류를 구한다."
