,title,rate,description
0,뷰티플 마인드,9.9,세상 개성 으로 뭉치다 뷰티플 마인드 멤버 보다 마음 고민 불협화음 까지 닮다 혼자 만의 쉼표 도돌이표 벗어나다 난생 처음 으로 함께 하다 기적 하모니 꿈꾸다 보다
1,뷰티플 마인드(가치봄영화:시청각장애인용),9.9,세상 개성 으로 뭉치다 뷰티플 마인드 멤버 보다 마음 고민 불협화음 까지 닮다 혼자 만의 쉼표 도돌이표 벗어나다 난생 처음 으로 함께 하다 기적 하모니 꿈꾸다 보다
2,극장판 은혼 완결편 해결사여 영원하라,9.9,어떻다 의하다 자신 없다 미래 세계 날아가다 버리다 기다 토키 붕괴하다 버리다 도의 거리 으로 보다 되다 멸망하다 지구 남다 가난하다 사람 기회 정부 싸우다 지사 허다 이용 하다 불량 그리고 빠지다 도망치다 성미 맞다 않다 완고하다 사람 그렇다 에도 에서 헤매다 기다 토키 명의 젊은이 만나다 허리 동야호 목검 차고 불량 쫓아내다 안경 청년 그리고 거대하다 다니다 기다 토키 따르다 차이나 복장 미녀 그리고 마침내 기다 토키 계속 하다 변하다 버리다 미래 모습 충격 사실 마주 하다 되다
3,몬스타엑스 : 더 드리밍,9.8,강렬하다 퍼포먼스 파워 하고 완성 높다 무대 세계 수많다 에게 아름답다 충격 선사 그룹 지난 동안 묵묵하다 걸어오다 여정 돌아보다 멤버 진솔하다 담기다 개별 인터뷰 부터 미국 진출 비하인드 히트 특별하다 무대 그리고 어디 에도 공개 되다 없다 최신 앨범 독점 무대 까지 오직 몬베베 만을 위해 하다 편의 영화 모두 담다 도전 성장 그리고 뜨겁다 타오르다 내일
4,디지몬 어드벤처 2기: 우리들의 워 게임!,9.8,디지털 월드 모험 으로부터 인터넷 에는 세계 디지털 데이터 먹다 성장하다 흉악하다 디지몬 쿠라몬 탄생 하다 쿠라몬 디아블로 으로 진화 하다 지구 멸망 시키다 있다 정도 파급 지니다 미사일 발사 시키다 일촉즉발 상황 아이 디지몬 합치다 세상 해내다 하다
5,굿 맨,9.8,오염 되다 연기 가려지다 햇빛 들다 않다 공장 도시 공장장 아내 햇빛 보지 하다 죽다 간다 연출 의도 상징 하다 아내 우리 모습 주인공 이입 하다 주인공 아내 살리다 노력 하다 모습 에서 파괴 되어다 가다 환경 되살리다 노력 하다 우리 모습 발견 하고 싶다
6,아픈 만큼 사랑한다,9.8,마땅하다 의료 시설 조차 없다 안타깝다 죽음 일상 되어다 버리다 필리핀 오지 마을 에게 먼저 내미다 다가가다 하다 명의 이방인 의사 버스 하다 대로 동안 의료 봉사 이다 간다 시한 인생 선고 받다 순간 에도 오로지 다른 사람 아픔 먼저 이다 누가 선교사 보여주다 헌신 봉사 사랑 자체 이다 세상 미처 전하 사랑 옵니다
7,매미소리,9.7,매미 소리 들다 소리 내다 소리 초상집 다니다 신명 아버지 덕배 최악 죽음 맞이 하다 최고 죽음 찾다 아버지 진도 어느 뜨겁다 여름날 만에 마주치다 부녀 듣다 그렇다 불협화음 하다 판이 울리다 퍼지다
8,비둘기는 날지 않는다,9.7,하루하루 살아가다 힘들다 변하다 세상 한때 평화 상징 이라 불리 하늘 날다 비둘기 급변 하다 세상 자신 맞추다 살아가다 어느새다 자신 비둘기 사실 잊다 날아다니다 보다 걷다 편하다 주인공 두다 그때 으로서 살아가다 위해 통닭 되다 이라는 암탉 꼬꼬 만나다
9,극장판 천원돌파 그렌라간 : 나암편,9.7,텟페린 공략 으로부터 인류 우주 로켓 메다 보내다 정도 발달 하다 시몬 지구 총사령관 되어다 수도 카미나 시티 세우다 한편 보좌 로시 울다 마지막 예언 신경 쓰다 지구 인구 강압 으로 조사 하다 두뇌 생체 컴퓨터 부활 시키다 정보 내다 그러나 결국 지구 인구 만에 도달 하고 안티 스파이럴 첨병 무간 공세 시작 되다 게다가 니아 사실 안티 스파이럴 메신저 이다 안티 스파이럴 에게 세뇌 되어다 인류 전멸 시키다 위협 하다 방법 바로 지구 충돌 시키다 인류 너무 발전 하다 공격 받다 되다 이라고 되다 시민 자신 이끌다 나오다 시몬 비난 하다 로시 울다 고뇌 시몬 체포 하다 사형 선고 내리다 자신 새롭다 총사령관 되다 로시 울다 각지 인류 지하 숨기 카미나 시티 시민 남기다 우주 비행선 아크 그렌 사용 하다 탈출 시키다 계획 세우다 그러나 계산 지하 남다 인간 생존 불가능하다 결론 나오다 로시 울다 다시 고뇌 하다 이르다 비밀 치고 아크 그렌 만을 살리다 하다 이르다 되다 다른 중책 키탄 고민 빠지다 무간 공격 시작 되다 로시 떠나다 메다 이끌다 렌단 다시 결집 시키다 시몬 역시 귀환 요코 도움 으로 풀다 함께 갇히다 있다 과거 비랄 함께 렌단 합류 하다 그동안 아크 그렌 무간 에게 격침 당하다 위기 이다 시몬 몰다 아크 그렌 거대 메다 아크 그렌라간 으로 바꾸다 내다 그리고 지구 떨어지다 역시 함선 크다 테라 알다 본래 모습 으로 바꾸다 제어 빼앗다 지구 해내다 과정 에서 자신 막다 니아 설득 하다 세뇌 안티 스파이럴 에게 소환 되다 그녀 해내다 맹세 하다 자신 하다 일이 헛된 것임 깨달 로시 울다 자살 하다 하지만 시몬 급하다 찾아내다 말리다 로시 가다 하다 인정 해주다 그리고 다시 렌단 모으다 시몬 크다 테라 이름 초은 으로 변경 하고 승선 니아 하다 차원 도약 하다 출발 하다 마지막 관문 까지 통과 렌단 마침내 안티 스파이럴 본체 도달 니아 해내다 최종 형태 천원 돌파 그렌라간 으로 합체 최후 대결 펼쳐지다 시몬 마침내 안티 스파이럴 쓰다 뜨다 인류 구한
